gene	mean	lfc	p	padj	group1	group2	contrast	isDE
NonamEVm000526	492.5449884471458	-1.996610800246158	1.2055479231145774e-14	5.735626080356663e-13	long	short	long_short	TRUE
NonamEVm003298	14821.099753157821	-2.101885034896296	1.2227581979986476e-14	5.78967230975819e-13	long	short	long_short	TRUE
NonamEVm001018	286.77931148177726	-2.3123959753555385	1.3707071841711293e-14	6.398357686112026e-13	long	short	long_short	TRUE
NonamEVm002068	234.94853953364353	-2.3117307668201437	1.367870256942016e-14	6.398357686112026e-13	long	short	long_short	TRUE
NonamEVm000544	441.99464431443573	-2.099366523232922	1.3606408026521126e-14	6.398357686112026e-13	long	short	long_short	TRUE
NonamEVm005162	80.78806222581308	5.459802423025022	1.5394142452199343e-14	7.152133037885667e-13	long	short	long_short	TRUE
NonamEVm001121	66.9070162758953	-2.7722151399272037	1.7587166434466917e-14	8.132831730630122e-13	long	short	long_short	TRUE
NonamEVm000214	8614.921100609925	6.314980554556248	1.923051987442111e-14	8.851405798942851e-13	long	short	long_short	TRUE
NonamEVm000373	758.6759857200146	-1.8610936793869761	2.0584291824611068e-14	9.430655180386626e-13	long	short	long_short	TRUE
NonamEVm006731	84.30411936696426	-3.1195258267020867	2.17523539786467e-14	9.91987534436349e-13	long	short	long_short	TRUE
NonamEVm005715	669.542077410356	2.4150900621085314	2.2609565066617695e-14	1.0263497977029756e-12	long	short	long_short	TRUE
NonamEVm006417	115.54448801994627	9.418063049416332	2.850554592423627e-14	1.2880862213070415e-12	long	short	long_short	TRUE
NonamEVm000035	157.47501289174895	-3.0394785384155485	2.99871080751533e-14	1.3488746432350776e-12	long	short	long_short	TRUE
NonamEVm003572	253.5842565767082	2.4721220198769887	3.5081739580054646e-14	1.5708999768516776e-12	long	short	long_short	TRUE
NonamEVm000995	803.8004911376181	-2.241170004084063	4.01481104523592e-14	1.7896653199844444e-12	long	short	long_short	TRUE
NonamEVm000092	704.277047176784	-2.0595022494906923	4.844251739158666e-14	2.149718170884043e-12	long	short	long_short	TRUE
