term	gene	description	ontology
GO:0000062	NonamEVm012050	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm008140	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm007645	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm004284	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm009178	fatty-acyl-CoA binding	MF
GO:0000064	NonamEVm007263	L-ornithine transmembrane transporter activity	MF
GO:0000064	NonamEVm012817	L-ornithine transmembrane transporter activity	MF
GO:0000070	NonamEVm000431	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000429	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002303	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000406	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000911	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm001903	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm008967	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000753	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000503	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000725	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000169	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002590	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm001919	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm001945	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm004548	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm001112	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm009994	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm003427	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002724	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm006739	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002943	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm000393	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm005097	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm005143	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm009382	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002360	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm001940	mitotic sister chromatid segregation	BP
GO:0000070	NonamEVm002297	mitotic sister chromatid segregation	BP
